course_name,original_price,discounted_price,is_discounted,promotion_status,assigned_agent,promo_content,hashtags,platforms_posted,engagement_metrics,id,created_date,updated_date,created_by_id,created_by,is_sample
"Certified Blockchain Developer (CBD) Exam","19","15","true","pending","","","[""#Blockchain"",""#Developer"",""#Crypto""]","[]","","688b37bde58f1bc8b4b4b6dd","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified Blockchain Expert (CBE) Exam","19","15","true","pending","","","[""#Blockchain"",""#Expert"",""#Crypto""]","[]","","688b37bde58f1bc8b4b4b6de","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified Cloud Security Professional (CCSP) Exam","19","15","true","pending","","","[""#CloudSecurity"",""#CCSP"",""#CyberSecurity""]","[]","","688b37bde58f1bc8b4b4b6df","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified Edge AI Professional","19","15","true","pending","","","[""#EdgeAI"",""#AI"",""#IoT""]","[]","","688b37bde58f1bc8b4b4b6e0","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified Information Security Manager (CISM) Exam","29","20","true","pending","","","[""#CISM"",""#InfoSec"",""#CyberSecurity""]","[]","","688b37bde58f1bc8b4b4b6e1","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"CISSP Exam","29","20","true","pending","","","[""#CISSP"",""#CyberSecurity"",""#InfoSec""]","[]","","688b37bde58f1bc8b4b4b6e2","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified IoT Professional (CIoTP) Exam","19","15","true","pending","","","[""#IoT"",""#InternetOfThings"",""#Technology""]","[]","","688b37bde58f1bc8b4b4b6e3","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified Kubernetes Administrator (CKA) Exam","19","15","true","pending","","","[""#Kubernetes"",""#DevOps"",""#Cloud""]","[]","","688b37bde58f1bc8b4b4b6e4","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified ScrumMaster (CSM) Exam","29","20","true","pending","","","[""#Scrum"",""#Agile"",""#ProjectManagement""]","[]","","688b37bde58f1bc8b4b4b6e5","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified Software Development Professional (CSDP) Exam","19","15","true","pending","","","[""#SoftwareDevelopment"",""#Programming"",""#CSDP""]","[]","","688b37bde58f1bc8b4b4b6e6","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified SolidWorks Associate (CSWA) Exam","29","20","true","pending","","","[""#SolidWorks"",""#CAD"",""#Design""]","[]","","688b37bde58f1bc8b4b4b6e7","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified SolidWorks Expert (CSWE) Exam","29","20","true","pending","","","[""#SolidWorks"",""#CAD"",""#Expert""]","[]","","688b37bde58f1bc8b4b4b6e8","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Certified SolidWorks Professional (CSWP) Exam","29","20","true","pending","","","[""#SolidWorks"",""#CAD"",""#Professional""]","[]","","688b37bde58f1bc8b4b4b6e9","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
"Cisco CCNP","19","15","true","pending","","","[""#Cisco"",""#CCNP"",""#Networking""]","[]","","688b37bde58f1bc8b4b4b6ea","2025-07-31T09:30:37.382000","2025-07-31T09:30:37.382000","6888ac155ebf84dd9855ea99","younesdgc@gmail.com",""
