channel,objective,daily_budget,landing_url
Meta,Sales,50,https://www.realworldcerts.com/courses/scrum-master-certification-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=scrum-master-certification-course
Google,Sales,50,https://www.realworldcerts.com/courses/scrum-master-certification-course.html?utm_source=google&utm_medium=cpc&utm_campaign=scrum-master-certification-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/scrum-master-certification-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=scrum-master-certification-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/scrum-master-certification-course.html?utm_source=youtube&utm_medium=short&utm_campaign=scrum-master-certification-course
Meta,Sales,50,https://www.realworldcerts.com/courses/prince2-foundation-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=prince2-foundation-course
Google,Sales,50,https://www.realworldcerts.com/courses/prince2-foundation-course.html?utm_source=google&utm_medium=cpc&utm_campaign=prince2-foundation-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/prince2-foundation-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=prince2-foundation-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/prince2-foundation-course.html?utm_source=youtube&utm_medium=short&utm_campaign=prince2-foundation-course
Meta,Sales,50,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=ceh-v12-ethical-hacking-course
Google,Sales,50,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html?utm_source=google&utm_medium=cpc&utm_campaign=ceh-v12-ethical-hacking-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=ceh-v12-ethical-hacking-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/ceh-v12-ethical-hacking-course.html?utm_source=youtube&utm_medium=short&utm_campaign=ceh-v12-ethical-hacking-course
Meta,Sales,50,https://www.realworldcerts.com/courses/cissp-full-domains-course.html?utm_source=meta&utm_medium=cpc&utm_campaign=cissp-full-domains-course
Google,Sales,50,https://www.realworldcerts.com/courses/cissp-full-domains-course.html?utm_source=google&utm_medium=cpc&utm_campaign=cissp-full-domains-course
TikTok,Sales,25,https://www.realworldcerts.com/courses/cissp-full-domains-course.html?utm_source=tiktok&utm_medium=video&utm_campaign=cissp-full-domains-course
YouTube,Sales,25,https://www.realworldcerts.com/courses/cissp-full-domains-course.html?utm_source=youtube&utm_medium=short&utm_campaign=cissp-full-domains-course
