course_id,num_course_sale,course_sale_revenue,num_refunded_sale,refunded_sale_revenue
6437479,0,0.00,0,0.00
6488315,0,0.00,0,0.00
6439027,1,1.54,0,0.00
6703529,0,0.00,0,0.00
6756475,0,0.00,0,0.00
6451021,0,0.00,0,0.00
6493611,0,0.00,0,0.00
6474353,0,0.00,0,0.00
6763519,0,0.00,0,0.00
6374397,0,0.00,0,0.00
6435747,1,3.76,0,0.00
6462893,0,0.00,0,0.00
6423005,0,0.00,0,0.00
6369839,0,0.00,0,0.00
6404525,0,0.00,0,0.00
6493889,1,5.70,0,0.00
6767445,0,0.00,0,0.00
6403979,1,3.64,0,0.00
6766107,0,0.00,0,0.00
6775819,0,0.00,0,0.00
5966608,10,37.51,2,-8.75
6418425,0,0.00,0,0.00
6472025,2,19.70,0,0.00
6750663,0,0.00,0,0.00
6771827,0,0.00,0,0.00
6685611,0,0.00,0,0.00
6790385,0,0.00,0,0.00
6446677,0,0.00,0,0.00
6431737,1,1.56,0,0.00
6770605,0,0.00,0,0.00
6420389,0,0.00,0,0.00
6448581,0,0.00,0,0.00
6176709,1,4.10,0,0.00
6435807,1,16.11,0,0.00
6443745,0,0.00,0,0.00
6765105,0,0.00,0,0.00
6806763,0,0.00,0,0.00
6421635,2,10.69,2,-10.69
6618431,2,3.20,1,-1.60
6733629,0,0.00,0,0.00
6444717,0,0.00,0,0.00
6465561,1,3.70,0,0.00
6486493,0,0.00,0,0.00
6761715,0,0.00,0,0.00
6739609,0,0.00,0,0.00
6366229,0,0.00,0,0.00
6482255,0,0.00,0,0.00
6398421,0,0.00,0,0.00
6614495,8,36.99,0,0.00
6406333,2,6.25,1,-1.60
6468747,2,3.94,1,-3.94
6736245,1,1.63,0,0.00
6400879,3,14.51,0,0.00
6765975,0,0.00,0,0.00
6419339,1,1.60,0,0.00
6753257,0,0.00,0,0.00
6443793,1,1.56,0,0.00
5934528,2,4.73,1,-4.73
6791065,0,0.00,0,0.00
6109267,0,0.00,0,0.00
6406439,0,0.00,0,0.00
6463899,0,0.00,0,0.00
6433519,2,7.24,2,-7.24
6487179,0,0.00,0,0.00
6445003,0,0.00,0,0.00
6751549,0,0.00,0,0.00
6138191,7,26.31,4,-17.34
6765297,0,0.00,0,0.00
6472101,0,0.00,0,0.00
6771537,1,3.81,1,-3.81
6167985,2,8.10,2,-8.10
6416853,0,0.00,0,0.00
6408597,0,0.00,0,0.00
6438155,6,7.97,1,-1.48
6423287,0,0.00,0,0.00
