# Curated Local Supplier Shortlist (from OWNER's TikTok export 210-following, 2026-09-01)
# Maps real Moroccan/wholesale suppliers w/ contacts to the stale ProcurementItem categories.
# Source: TTExporter-younes.li00-210-following.csv (OWNER attachment). Hand-curated for actionability.
# NOTE: These are candidate leads to resolve the 60 'sourced' + 63 'Wholesale supplier' stalled items.
# Fulfilment MUST still produce orderRef + carrier trackingNumber + deliveryProofHash before 'delivered'.

category,supplier,tiktok,what,contact,notes
health,Superfood.ma,,(already in skill approved list) — packs currently stuck 'ordered/sourced/purchased' but none shipped,attach real order+tracking,use skill platform
health,Opalescence,,(already in skill approved list / Amed.ma),,oral-care whitening
health,NectrabioOffic,nectrabio_officiel,"Health/supplements made in CH",,optional wellness sourcing
health,NutronApp,nutronapp,"Food/health scanner",,not a supplier; context
home,Déco Shop,decoshopdecoshop,"Crystal decoration + household items","0651296438 (Fès)",covers 'home' category gap
home,Tout à Tous,tout.a.tous,"Home decor + kitchen essentials",,decor/kitchen
home,tajhizatnakhil,tajhizatnakhil,"Household/houseware",,Marrakech mhamid
home,awani.hicham,awani.hicham,"Household items",,Khouribga marked 141
home,stockageproo,stockageproo,"Shelving, material handling, office/school furniture",,furniture/racking
fashion,3abidine_dgdage,3abidine_dgdage,"Men's clothing wholesale",,Sidi Moumen
fashion,haroun.lamri,haroun.lamri,"Men's clothing bulk",,clothing wholesale
fashion,Monte Carlo,montecarlo.48,"Men's clothing, deliv MA",0600099914 (Oujda)
fashion,simo_shoop_,simo_shoop_,"Clothing bulk only (t-shirts, polos, trousers, shorts)",0784499160 (Casa derb sultan)
fashion,Salm Couture,salm_couture,"Abayas",,capsule/abaya
fashion,SB Gallery,sb.gallery,"Men's luxury clothing",,Rabat
fashion,King Fashion gros,king.fashoin.gros_13,"Wholesale only, 58 wilayas DZ",+213792211211,Algeria wholesale
fashion,Oran Wholesale,oran.wholesale,"Lacoste/Eden Park/Fashion bulk",0774442587 (Oran),Algeria wholesale
fashion,Houcin Store,houcin.store,"Clothing store",,clothing
fashion,KZ Mode,oran.wholesale,,,
fashion,Moroccan wholesale (Wholesale supplier 63 items),,(stalled 'Wholesale supplier' block),REPLACE with concrete per-supplier refs below,consolidate into discrete orders
auto,MB Moto,mb.moto.casa,"Moto parts/accessories",077974811,for accessories
auto,Coding Auto,codingauto,"Car accessories",0602942029 (Agadir)
food,Mirka.ma,,(skill approved) ethanol/coffee,attach ref,use skill platform
food,Marche local Bouznika,,(local fresh produce/deadline),attach ref,use skill platform
food,Beta Miel,betamielmaroc,"Honey / edible coffee packs",,local food
sourcing,moroccosupport.com / investmorocco.ai,(from procurement skill),sourcing-agent service + verified suppliers,use skill platform,preferred B2B channel

# REMINDER — fail-closed invariant: an item only reaches 'delivered' with a real orderRef + carrier
# trackingNumber + deliveryProofHash (or 'received' receipt). POs / payments (externalRef) must be
# reconciled against real Attijari/PayPal/onchain statements via Base44 App (app 6888ac155ebf84dd9855ea98).
